Customer_ID,Credit_Amount,Purpose_Credit_Taken,Duration_in_Months,Status_Checking_Accnt,Credit_History,Job_Status,Years_At_Present_Employment,Marital_Status_Gender,Other_Debtors_Guarantors,Current_Address_Yrs,Age,Housing,Num_Credits,Num_Dependents,Foreign_Worker,Default_On_Payment
C15001,3939,P40,11,S11,A34,A172,E73,A93,A101,2,40,A152,2,2,A201,0
C15002,1795,P43,18,S12,A34,A172,E75,A92,A103,4,48,A151,2,1,A201,0
C15003,6143,P41,48,S11,A34,A172,E75,A92,A101,4,58,A153,2,1,A201,1
C15004,2675,P43,22,S14,A32,A173,E75,A93,A101,4,40,A152,1,1,A201,0
C15005,12389,P40,36,S12,A32,,E73,A93,A101,4,37,A153,1,1,A201,1
C15006,2662,P40,18,S14,A32,A173,E74,A93,A101,3,32,A152,1,1,A202,0
C15007,3527,P40,12,S14,A32,A174,E72,A93,A101,3,45,A152,1,2,A201,0
C15008,2142,P49,11,S14,A32,A173,E75,A91,A101,2,28,A152,1,1,A201,0
C15009,2251,P42,12,S13,A32,A172,E73,A92,A101,2,46,A152,1,1,A201,0
C15010,1131,P42,18,S11,A32,A173,E71,A92,A101,2,33,A152,1,1,A201,1
C15011,1262,P43,12,S14,A32,A173,E73,A93,A101,2,25,A152,1,1,A201,0
C15012,3077,P43,30,S14,A34,A173,E75,A93,A101,2,40,A152,2,2,A201,0
C15013,1935,P49,24,S12,A34,A173,E75,A91,A101,4,31,A152,2,1,A201,1
C15014,5045,P40,15,S14,A34,A173,E75,A92,A101,4,59,A152,1,1,A201,0
C15015,886,P43,12,S14,A32,A173,E73,A92,A101,2,21,A152,1,1,A201,0
C15016,2528,P49,27,S12,A32,A173,E72,A92,A101,1,32,A152,1,2,A201,0
C15017,884,P40,18,S12,A34,A173,E75,A93,A101,4,36,A152,1,2,A201,1
C15018,14896,P40,6,S11,A32,,E75,A93,A101,4,68,,1,1,A201,1
C15019,4843,P40,12,S11,A34,A173,E75,A93,A102,4,43,A151,2,1,A201,1
C15020,2684,P43,24,S14,A34,A172,E73,A93,A101,2,35,A152,2,1,A201,0
C15021,3973,P40,14,S11,A32,A173,E71,A93,A101,4,22,A153,1,1,A201,0
C15022,4591,P49,24,S14,A32,A174,E73,A93,A101,3,54,A152,3,1,A201,1
C15023,1995,P40,12,S12,A34,A173,E72,A93,A101,1,27,A152,1,1,A201,0
C15024,1338,P44,6,S14,A32,A173,E73,A91,A101,4,62,A152,1,1,A201,0
C15025,5951,P43,48,S12,A32,A173,E73,A92,A101,2,22,A152,1,1,A201,0
C15026,1238,P48,6,S14,A32,A174,E71,A93,A101,4,36,A152,1,2,A201,0
C15027,6110,P46,48,S14,A34,A173,E73,A93,A101,3,31,A153,1,1,A201,0
C15028,1823,P43,24,S11,A32,A174,E71,A93,A101,2,30,A152,1,2,A201,1
C15029,11560,P41,24,S12,A32,A174,E73,A92,A101,4,23,A151,2,1,A201,1
C15030,6527,P40,60,S14,A32,A173,E73,A93,A101,4,34,A153,1,2,A201,0
C15031,2924,P41,24,S11,A32,A173,E73,A93,A103,4,63,A152,1,2,A201,0
C15032,2782,P40,21,S14,A32,A174,E74,A92,A101,2,31,A152,1,1,A201,0
C15033,2728,P43,15,S12,A34,A173,E74,A93,A103,2,35,A152,3,1,A201,0
C15034,3617,P42,24,S13,A34,A173,E75,A93,A102,4,20,A151,2,1,A201,0
C15035,3757,P40,24,S14,A32,A173,E75,A92,A102,4,62,A153,1,1,A201,0
C15036,2238,P43,18,S14,A34,A173,E73,A92,A101,1,25,A152,2,1,A201,0
C15037,7472,P40,12,S12,A32,A171,E71,A92,A101,2,24,A151,1,1,A201,0
C15038,1360,P43,15,S14,A34,A173,E73,A93,A101,2,31,A152,2,1,A201,0
C15039,2892,P42,24,S13,A32,A173,E75,A91,A101,4,51,A153,1,1,A201,0
C15040,409,P43,12,S13,A31,A173,E73,A92,A101,3,42,A151,2,1,A201,0
C15041,3878,P40,24,S12,A34,A173,E72,A91,A101,2,37,A152,1,1,A201,0
C15042,781,P40,10,S13,A34,A173,E75,A93,A101,4,63,A153,2,1,A201,0
C15043,1837,P46,24,S12,A31,A172,E74,A92,A101,4,34,A153,1,1,A201,1
C15044,1422,P40,9,S11,A32,A174,E72,A93,A101,2,27,A153,1,1,A201,1
C15045,640,P40,12,S14,A32,A172,E73,A91,A101,2,49,A152,1,1,A201,0
C15046,1228,P40,12,S11,A32,A172,E73,A92,A101,2,24,A152,1,1,A201,1
C15047,3578,P43,48,S14,A34,A173,E75,A93,A101,1,47,A152,1,1,A201,0
C15048,1236,P41,6,S14,A32,A173,E73,A93,A101,4,50,A151,1,1,A201,0
C15049,3378,P41,18,S14,A32,A173,E73,A93,A101,1,31,A152,1,1,A201,0
C15050,3972,P42,24,S14,A32,A173,E74,A92,A101,4,25,A151,1,1,A201,0
C15051,932,P43,6,S14,A33,A173,E73,A92,A101,2,24,A152,1,1,A201,0
C15052,1449,P49,6,S12,A33,A173,E75,A91,A101,2,31,A152,2,2,A201,0
C15053,2764,P49,33,S14,A33,A173,E73,A92,A101,2,26,A152,2,1,A201,0
C15054,6313,P41,24,S14,A32,A174,E75,A93,A101,4,41,A152,1,2,A201,0
